"","Site","Date","Location.x","Ca","Cr","Cu","Fe","Mg","Mn","Na","Ni","Pb","V","Zn","date","year","ID","ID4RanEf","Location.y","StreetName","Zone","RoadType","RoadSurface","LandCoverCode","PercTree","PercPaved","LandCoverName","LandCoverCategory","LandCoverDefinition","LandUse","LandOwnership","LandUseIntensity","LandUseCat","good","bad","good2bad"
"1","DNR1042","7/11/2012","5",6267.827774,28.39545514,8.555192556,18394.56115,5023.424902,358.1203865,676.7860643,16.55340017,4.763347555,52.51090592,67.42582454,2012-07-11,"2012","DNR1042_5","DNR1042_5_2012",5,"TUSTUMENA LAKE RD","COHOE","Town Major Collector","Paved",22,24,27," Developed, Low Intensity ","Developed","Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20 to 49 percent of total cover. These areas most commonly include single family housing units.  ","500 Road Right of Way","StateDOT","3","RoadROW",0.344514408751021,0.413003473549423,-0.0684890647984021
"2","DNR1042","7/11/2012","50",6454.1170805,13.182678155,7.163968688,13139.56383,1546.3761695,189.83230775,2027.322771,4.482525989,4.420756312,52.906486035,26.762105565,2012-07-11,"2012","DNR1042_50","DNR1042_50_2012",50,"TUSTUMENA LAKE RD","COHOE","Town Major Collector","Paved",42,62,0,"Evergreen Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species maintain their leaves all year. Canopy is never without green foliage.  ","100 Residential Vacant","Private","1","Residential Institutional",-0.203717576693477,0.0345099162187487,-0.238227492912226
"3","DNR1042","8/22/2011","5",6348.307305,27.84285746,5.445071631,17973.93811,5241.386835,344.5417764,817.6689001,18.3072721,5.040663899,55.04234015,44.93959684,2011-08-22,"2011","DNR1042_5","DNR1042_5_2011",5,"TUSTUMENA LAKE RD","COHOE","Town Major Collector","Paved",22,24,27," Developed, Low Intensity ","Developed","Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20 to 49 percent of total cover. These areas most commonly include single family housing units.  ","500 Road Right of Way","StateDOT","3","RoadROW",0.375132961090247,0.328643204676829,0.0464897564134182
"4","DNR1042","8/22/2011","50",8025.828347,11.53349169,3.081747078,12940.26755,1636.735297,276.2936229,2410.853505,4.731813642,3.673990985,50.40299151,34.47727628,2011-08-22,"2011","DNR1042_50","DNR1042_50_2011",50,"TUSTUMENA LAKE RD","COHOE","Town Major Collector","Paved",42,62,0,"Evergreen Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species maintain their leaves all year. Canopy is never without green foliage.  ","100 Residential Vacant","Private","1","Residential Institutional",-0.00492865233112288,-0.0199645604668355,0.0150359081357126
"5","DNR1064","7/18/2012","5",6427.757679,32.78256763,6.621633547,20504.1575,6323.769239,350.5259403,700.4974918,18.97139283,13.41226404,57.24318165,68.18851867,2012-07-18,"2012","DNR1064_5","DNR1064_5_2012",5,"KALIFORNSKY BEACH RD","KALIFORNSKY","Town Major Collector","Paved",90,16,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","190 Residential Accessory Bldg","Private","2","Residential Institutional",0.475925949998505,0.545960245404332,-0.0700342954058273
"6","DNR1064","7/18/2012","50",11770.98678,1.984231549,6.07379323,5313.850307,1347.773449,94.71825484,761.8629597,2.414007117,4.81421173,6.744970241,10.77133045,2012-07-18,"2012","DNR1064_50","DNR1064_50_2012",50,"KALIFORNSKY BEACH RD","KALIFORNSKY","Town Major Collector","Paved",42,28,0,"Evergreen Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species maintain their leaves all year. Canopy is never without green foliage.  ","190 Residential Accessory Bldg","Private","2","Residential Institutional",0.201816508726055,-0.966756211557907,1.16857272028396
"7","DNR1064","8/18/2011","5",6252.447512,43.28149724,23.52456063,22757.44349,7833.39299,423.5282101,462.9583069,22.01259801,42.14901297,56.68225557,67.42894153,2011-08-18,"2011","DNR1064_5","DNR1064_5_2011",5,"KALIFORNSKY BEACH RD","KALIFORNSKY","Town Major Collector","Paved",90,16,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","190 Residential Accessory Bldg","Private","2","Residential Institutional",0.557993613946723,0.879268704970139,-0.321275091023416
"8","DNR1064","8/18/2011","50",18294.26079,2.906474187,5.150728785,8379.611432,2219.949334,115.0668758,872.8725849,4.144927187,6.280358003,10.88793488,9.320592535,2011-08-18,"2011","DNR1064_50","DNR1064_50_2011",50,"KALIFORNSKY BEACH RD","KALIFORNSKY","Town Major Collector","Paved",42,28,0,"Evergreen Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species maintain their leaves all year. Canopy is never without green foliage.  ","190 Residential Accessory Bldg","Private","2","Residential Institutional",0.790252614955203,-0.717905217561337,1.50815783251654
"9","DNR1069","7/18/2012","50",8524.242993,0.834549418,3.749339586,2527.99564,1291.283572,42.99229257,829.1927757,1.35161597,0.792805401,6.554985819,13.48855601,2012-07-18,"2012","DNR1069_50","DNR1069_50_2012",50,"WOODS DR","KALIFORNSKY","Town Medium Volume","Paved",95,38,0,"Emergent Herbaceous Wetlands ","Wetland"," Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","100 Residential Vacant","State","1","Residential Institutional",-0.0725280298025414,-1.54713909743544,1.4746110676329
"10","DNR1069","8/18/2011","5",2951.228536,23.59182972,11.21659258,15857.68127,4907.601522,249.332156,137.95945475,13.48458529,4.564974932,38.5816754,41.21586242,2011-08-18,"2011","DNR1069_5","DNR1069_5_2011",5,"WOODS DR","KALIFORNSKY","Town Medium Volume","Paved",43,23,0," Mixed Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75 percent of total tree cover.  ","100 Residential Vacant","State","1","Residential Institutional",-0.258639899261851,0.0514763503578548,-0.310116249619706
