lookupVariable,lookupValue,newVariable,newValue,source 
LandUse,100 Residential Vacant,LandUseIntensity,1,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,105 Residential Improved Land,LandUseIntensity,2,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,130 Residential Mobile Home,LandUseIntensity,2,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,190 Residential Accessory Bldg,LandUseIntensity,2,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,500 Road Right of Way,LandUseIntensity,3,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,750 General Industrial,LandUseIntensity,2,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,820 Institutional School,LandUseIntensity,2,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,850 General Institutional,LandUseIntensity,2,Reeves reassigned to ranked variable based on assumed intensity of land use with 1 low and 3 high
LandUse,100 Residential Vacant,LandUseCat,Residential Institutional,Reeves reassigned
LandUse,105 Residential Improved Land,LandUseCat,Residential Institutional,Reeves reassigned
LandUse,130 Residential Mobile Home,LandUseCat,Residential Institutional,Reeves reassigned
LandUse,190 Residential Accessory Bldg,LandUseCat,Residential Institutional,Reeves reassigned
LandUse,500 Road Right of Way,LandUseCat,RoadROW,Reeves reassigned
LandUse,750 General Industrial,LandUseCat,Industrial,Reeves reassigned
LandUse,820 Institutional School,LandUseCat,Residential Institutional,Reeves reassigned
LandUse,850 General Institutional,LandUseCat,Residential Institutional,Reeves reassigned
RoadType,Oil Field,RoadType,Private Road,"Reassigned because I created Oil Field category, these roads are gated, and I only have one other sample in the ""Private Road"" category, so I'll get more out of it this way."
RoadSurface,Paved,Paved,1,
RoadSurface,Gravel,Paved,0,
RoadSurface,Unknown,Paved,0,
RoadSurface,Dirt,Paved,0,
RoadSurface,Impassable,Paved,0,
RoadSurface,Unimproved,Paved,0,
